white_proportion,female_proportion,genres,average_age,attendance_in_mills,budget_in_mills,highest_starpower,genre_action (Dummy),genre_comedy (Dummy),genre_drama (Dummy),genre_other (Dummy),content_rating (Dummy)_PG,content_rating (Dummy)_PG-13,content_rating (Dummy)_R
1.0,0.3333333333333333,Action|Adventure|Fantasy,26.666666666666668,33.0,230.0,1,1,0,0,0,False,True,False
0.3333333333333333,0.3333333333333333,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,40.666666666666664,22.0,225.0,11,1,1,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,34.666666666666664,78.0,220.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi|Thriller,45.0,8.0,209.0,2,1,0,0,0,False,True,False
1.0,0.0,Adventure|Fantasy,38.0,38.0,180.0,73,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Drama|Fantasy,25.666666666666668,19.0,170.0,1,1,0,1,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Adventure|Fantasy,39.333333333333336,11.0,150.0,2,1,0,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Mystery|Sci-Fi,39.333333333333336,16.0,130.0,2,0,0,0,1,False,False,True
0.6666666666666666,0.0,Action|Adventure|Fantasy|Sci-Fi,43.666666666666664,36.0,225.0,1,1,0,0,0,False,True,False
1.0,0.0,Adventure|Fantasy,39.0,32.0,225.0,576,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Western,48.666666666666664,11.0,215.0,7,1,0,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Family|Fantasy,37.0,29.0,215.0,2,0,0,0,1,True,False,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,48.0,50.0,200.0,1,1,0,0,0,False,True,False
1.0,0.0,Adventure|Fantasy,47.333333333333336,8.0,195.0,694,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Horror|Sci-Fi|Thriller,47.666666666666664,25.0,190.0,7,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,44.0,28.0,190.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,39.666666666666664,13.0,190.0,1,1,0,0,0,False,True,False
0.0,0.0,Action|Adventure|Drama|Fantasy,47.0,5.0,175.0,49,1,0,1,0,False,True,False
0.6666666666666666,0.6666666666666666,Action|Adventure|Sci-Fi,44.666666666666664,30.0,210.0,150,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Fantasy|Sci-Fi,30.666666666666668,25.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Fantasy|Sci-Fi|Thriller,38.333333333333336,29.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Family|Fantasy|Romance,38.0,30.0,180.0,1,1,0,0,0,True,False,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,43.666666666666664,12.0,178.0,21,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Drama|Sci-Fi,37.666666666666664,26.0,170.0,36,1,0,1,0,False,True,False
1.0,0.6666666666666666,Action|Adventure|Sci-Fi,31.666666666666668,32.0,170.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,45.333333333333336,41.0,170.0,3,1,0,0,0,False,True,False
1.0,0.6666666666666666,Adventure|Drama|Sci-Fi,30.333333333333332,23.0,165.0,3,0,0,1,0,False,True,False
1.0,0.0,Adventure|Comedy|Family|Fantasy,48.333333333333336,14.0,127.0,1,0,1,0,0,True,False,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,37.666666666666664,54.0,250.0,4,1,0,0,0,False,True,False
1.0,0.0,Action|Crime|Thriller,46.0,42.0,190.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Family|Mystery|Sci-Fi,34.0,11.0,190.0,27,1,0,0,0,True,False,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,33.333333333333336,6.0,176.0,3,1,0,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Sci-Fi,16.333333333333332,33.0,160.0,2,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,40.666666666666664,11.0,155.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.6666666666666666,Action|Adventure|Sci-Fi|Thriller,37.0,77.0,150.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Adventure|Family|Fantasy,35.666666666666664,4.0,150.0,1,0,0,0,1,True,False,False
1.0,0.0,Adventure|Drama|Thriller|Western,39.333333333333336,22.0,135.0,1,0,0,1,0,False,False,True
0.6666666666666666,0.6666666666666666,Action|Adventure|Comedy|Sci-Fi,36.0,21.0,130.0,1,1,1,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,40.666666666666664,38.0,250.0,2,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,39.333333333333336,47.0,250.0,5,1,0,0,0,False,True,False
0.6666666666666666,1.0,Action|Adventure|Sci-Fi|Thriller,30.0,15.0,185.0,3,1,0,0,0,False,True,False
1.0,0.0,Action|Adventure|Drama|Romance,46.333333333333336,14.0,180.0,3,1,0,1,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,28.333333333333332,18.0,178.0,7,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Comedy|Sci-Fi,42.333333333333336,19.0,175.0,83,1,1,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Family|Fantasy,52.333333333333336,9.0,170.0,1,0,0,0,1,True,False,False
0.6666666666666666,0.6666666666666666,Action|Adventure|Sci-Fi,64.33333333333333,12.0,165.0,80,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Adventure|Fantasy,42.666666666666664,5.0,160.0,28,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Comedy|Fantasy|Sci-Fi,43.666666666666664,14.0,144.0,4,1,1,0,0,False,True,False
